,col
53,"I initially had some connection issues with the speaker to my phone but for the most part, the setup was pretty easy to do with the google home app.  

One of my initial negatives with this speaker is that it has no battery power and must be plugged into an outlet at all times.  Granted I can understand that battery drainage may be greater with this speaker because it is always on, but at this price, a battery, in addition to the power cord, should be included.   

The design is pretty simple but there are different color bases that can be purchased to give a slight different look.  I am fine with the basic look and not sure the different colors are worth the extra cost.

It is a pretty smart speaker, but some seemingly simple questions, it doesn't always know or gives incorrect answers.   Even different ways of asking the same question, sometimes confuses the speaker. It also doesn't always activate when you say ¡°Hey Google¡± either, resulting in a repeated attempt to get its attention.  Hopefully, that will improve over time as the technology improves.  It does do some things well though, such as playing songs and giving some basic information, such as the weather forecast.  I like the fact that it works with a variety of devices, such as thermostats and the like.  Some simple tasks are still not quite there though.    

Sound is decent for a speaker of its size, but of course, will not blow you away.  
  
Although I do think these smart speakers are a bit overpriced and have its limitations, it is a pretty cool device.  Hopefully, its ability will grow over time.    

4 stars"
54,"Awesome little gadget, love it for my Google Music -¡°Play Hamilton!¡±.  Future functionality will turn this from gadget to necessary technology."
55,"Amazing!  How did I live with out AI my whole life.  Not only is it fun, it is super useful too!"
56,"Quick answers to basic questions. No longer need to pick up a phone, tablet or go to a computer to search. Music options have expanded."
57,"Doesn't seem to have as many features as Amazon's Alexa - but off to a good start. Enjoy being able to link Spotify account, and seems better at answering questions."
58,Really cool
59,I like the base of the speaker and fast response to commands
60,"Is it better than the Amazon Echo? No not at all. Will it be better? Yes. Don't buy this device if you want it all right now. Save your money and by a echo Dot. However when  phone integration comes on line. This is going to be the hardest thing in the world to find. 

Phone integration would allow Google Home to send, and read texts or tweets or update your Facebook. Will allow you to say ""Ok Google call my wife*,  Google will know who your wife is, make the call then use itsself like a speaker. 

Amazon Echo will never be able to do that."
61,"1) Apparently you must use a Phone or a tablet to set it up. Could not find a way to use a desktop PC
2) Music service not ready for prime time. If I ask it to play a well known artist. It first plays a little known song by that artist then then next 5 songs are a similar genre but by other artist or impersonators. Asked it to play some light music and it gave several songs with strong drums, clearly a millennial driven play list I guess. 

Clearly another example of a "" me too wanna be"" product being rushed to market before it was ready. Wait a year or more to buy this one or get one of the competitors products that have been around awhile if you just have to have a desktop speaker that tells the weather"
62,"Not as useful as this is made out to be... I mean I can see this becoming something very handy in the future. Right now it just doesn't quite do what I hoped it would do. I still feel very ""techy"" when my friends are over. But this is no personal home assistant."
63,I have purchased two of these thus year and my Mother lives hers.  The speaker is great and really gives nice full sound.  Great way to stay organized play music and listen to jokes all of the same time.  It's good to have in the kitchen for recipes.
64,"I own the Alexas, which I like very much, but the HOME is also really quite good and I would recommend it also.  It doesn't have the same information as the Alexas, but what it has is quite good and worth the cost.  It's fabulous!Mr"
65,I hate that this product constantly stops when playing music from Pandora and you have to pay to use YouTube music.
66,"I had a hard time choosing between the Amazon Echo and this.   The Echo has been out longer and is currently ahead of the game with compatible devices.   However,  as a long time Android user,  I like the seamless Google integration and feel the compatible device list will catch up quickly.   In the meantime,  it's easy to utilize most by creating an IFTTT applet.   The Google Home device was easy to  set up,  and I had it connected to my Hue Bridge in minutes,  and and applets created for my Lifx lights minutes later, as well as a couple of other commands.   Also,  just plain fun to ask questions of as well as useful!"
67,We were at a friends who had the Amazon Alexa.  The kids had fun playing with it so we decided to get the Google because it ft our budget better and we were not going to use it for ordering things.  Alexa seems to understand questions better and have a better wit hen asked crazy things
68,"Love it, great addition to our home"
69,"This is extremely disappointing, it can only play music through google play, pandora, youtube red and Spotify,  none of which I use. So I thought I would play it on bluetooth which I soon found out it dosent have. You cant use it without wifi. And almost every question you ask it, the answer is sorry I dont know the answer to that yet."
70,"Google puts a lot of effort in upgrading it and adding new functionality. That really is promising.
I have been reading about Smart Assistants for a long time before I decided to buy one. In some sennce it did disappoint me, it actuelle quite regularly missed the 'hey Google' hot word. That really is annoying as I didn't aspect that after reading all the reviews that said it almost always works.
Still, I love it. Love speaking to a computer and have it do things for me. Love listening to music and podcasts or getting the weather, all without even touching any device. Would recommend it, but know, it's not perfect. Not even close."
71,"I probably had too high of expectations going in to this purchase but I was told the search engine and learning algorithms for Google are much better than the Amazon tools.  (Amazon units cost less)  I do not have an ""internet enabled house"" so I can't turn on lights or talk to my thermostat or even check the door locks.  It is kind of fun asking it what sound an eagle makes or what's the population of Christmas Island, but aside from linking it to my Pandora account to play music, it's just a very pricey toy.  
 - It is worth noting that you MUST download the Google Home app in order to program the Google Home AND it must be connected to a WiFi signal all the time.  The programming is not complicated and mostly intuitive, but that might be because all I had to do was to look up my Pandora login information again.  If I had to do this for every light, appliance or device, I might feel differently."
72,"Device is great but beware of the google express promo offer. Had to contact google 3 times, was made to jump through all kinds of hoops to redeem the offer. In the end was given a rebate that took 7-10 days."
73,"Unfortunately, Google Home will randomly STOP playing music!  I have re-booted several times, tried different locations, and even purchased Spotify Premium....all to no avail.  For no reason at all, Google just stops playing a song...sometimes coming back on and sometimes not.

There are literally hundreds of customers complaining about this online!!  And customers who own both Alexa and Google are saying that they have NO music-streaming problems with Alexa.  How in the world did this product clear ""testing""??

If Google does not repair this humongous glitch within a week, I will return the product to Walmart and purchase Echo."
74,"Sorry but that was on of the reson considering buying, maybe some day?"
75,"Great price. Can help with so many things. So much easier than looking stuff up on the computer. Need the # to home Depot and their hours real quick? Done. Plays games with you, great selection of music, I can't say enough I did my research online to compare it to echo, and that's how I made my decision. It doesn't know everything yet, but hey, it's a computer and everyday it is updated. It's my new best friend! It actually makes you feel like you have someone there with you. I don't even refer to Google home as it, I refer to it as HER!"
76,"We have a lot of fun with this, asking  it questions! Love we can listen to favorite music and have it set up to make calls. If my husband falls he can yell ""Hey Google call ....."" and it does! Love it!"
77,"Cool gadget - I really love waking up and asking Google to play me the news (and I get to choose which news source). Great to link to Spotify and ask to play playlists, or your favorite artists/tracks.

There are definitely some teething issues - Google can't do everything yet but I am super excited to see how quickly their machine learning algorithm gets better and better and more features are added to the capability. The good news here is all you will need is a software upgrade, not a new model - the speaker is also nice and puts out solid sound quality."
78,"I've had GH about a week I like it, the microphones are very responsive from just about anywhere in the house as long as there is not too much background noise. Very handy in getting quick info and playing back ground music. Sound is very good as long as not played at full volume. Right now due to the lack of apps I view it as a nice 100 dollar radio with bonuses.  It is way behind the Amazon Echo in apps the reason for four stars but Google has promised they are working on that.  When that happens it'll be very useful to have in the house.  Oh yeah if you have a Chromecast stick it can cast to that as well.  If interested in such tech I'd highly recommend it."
79,Everything. so easy to use
80,I love it. It very helpful.
81,was going to get the alexa echo dot by amazon however my main use was going to be for playing music and the bass is amazon im so glad i watched a youtube comparison video on the 2! its worth the money for sure
82,"As I write this rwview and have just box this to take it back.  It is little more than a novelty music playback device and nothing more.  I was impressed with the music/speaker sound quality, but I was looking for and exspecting a lot more.  I wanted to be able to check movie times, make Callender appointments, phone calls, and a slew of other basic administrative thing an assistant could do, but the functionality just isn't there yet as Google home constantly tells me.  It was cool to say a song and it would play, but that's it.  Hopefully Echo Dot qill be more of what I wanted."
83,Works so much better than Alexa and can make phone calls
84,I use it mostly for answering questions. It is very fast and informative.
85,Google home product is good
86,hello 1234
87,"Google home is a well made a functional item.  However, according to google support the unit does not provide any method of locking the open (unsecure) Wi-Fi connection that is established.  I.e., any Wi-Fi device can connect to the unit.  In all fairness the vast majority of people cannot do anything with this connection.  However, call me overly cautious, a hacker may be able to gain access to the unit and potentially the home network.  

This resulted in the item being returned.  Amazon Echo's approach is to hide the units Wi-Fi once it has been set up."
88,What did I like about It? What did I not like! The speaker is just awesome! Like having a surround sound system with a subwoofer all in one compact device.
89,Hard to get everything setup. Little instructions inside but good sound.
90,"Easy to marry to my Smartphone.   The gal living in Google Home ""is still learning"" on some subjects.  Need to be precise when asking her a question.  We are still figuring out just how to do that.  She is very alert and it is like having another member of the family....a bit on the frightening side, but that is the way of the world today.  She does say ""goodnight"" in a special, and personal way, also.   So always say goodnight to her."
91,"This product isn't Bluetooth or AUX compatible.  There are NO wireless options at all.  There isn't an easy way to play music from your phone.  You need to create a google music account and transfer your files.  Product is not usable via public WIFI.

The speaker is decent"
92,"i can't live without it, I use it for spelling, math, and definitions it so easy, you will love it"
93,"Got this for my husband for Christmas. Gave my son an echo dot, so we were able to compare them side-by-side. 
Both are great for providing music for a room, which is what we use the Google for 90%. They are both great for getting general info, such as the weather. Each tells equally corny jokes when asked!
I would say that, if I had to get another, I would choose the Echo because of the price difference. I could have saved $90 and been just as happy."
94,"The google home is super easy to set up and so fun to have in our kitchen area. We play music, games, ask questions and control our music in our home sound system. I don't know how we've lived without this!"
95,"So convenient for watching TV, even my toddler can put his favorite shows on the TV when he wants. I use it for media, reminders, alarms, shopping list, questions, jokes, and games."
96,"Very practical. Once you start using it you can't go without it. Now I'm looking at buying all kind of smart stuff to  make everything fun and easy to run the house. The smart lights makes everything so so much better, it gives you peace of mind."
97,"Hi I found it easy to install ,great communication and best reasonably priced .."
98,Easy to install
99,"The product itself is great, but needs to bake some more, small range of direct support smart devices, but if you use the Samsung SmartThings and other addons excellent device."
100,"Neat little gadget, easy to setup initially. Still haven't been successful in the voice recognition. It gives me the spinning wheel forever until I cancel operation."
101,Broaden capabilities to reading the Bible or other books etc.
102,"I would not have bought this device if I knew it limits you to one account per device.   Soooo,  it only assists one person n in a family.   Seems so easy for each person to have their own prompt.  And i wouldn't have boughf it if i knew you must say okay google constantly,  Can't  change the prompt and it doesn't exactly roll off the tongue.  I over estimated  Google.   And hopes for updates are seemingly poor.   I have a 14 dollar assistant on my phone I will stick with since I missed the boat on Echo for same price before xmas.   Its a glorified speaker right now.  Since I can control tv and music with phone anyway what's  the  point worth  all  these  limitations 
 I don't  even  use ""Google  now""   on  my  phone.   Wasn't  thinking."
103,"I ordered the Alexa Dot from Amazon for my husband for Christmas and we got to try it out for a month. We got tired of hearing Hum, I can't help you with that. I returned it and ordered the Google Home and within the first few minutes we knew it was the right one for us. My husband is really enjoying the ease of asking for music and translations.  We are very happy with Google Home and think everyone should have one."
104,The unit is unreliable. Speech recognition is spotty. Bought for our blind daughter to have easy access to information and it has been a huge disappointment for her.
105,"The music quality is great! The variety, perfect! 
We've had so much fun with Google Home. We are still learning but in the week we've had this we've had a blast with it!  
We've been pleasantly surprised by the accuracy of the speaker, and how it recognizes our requests.  
Can't wait to learn more about it!"
106,"I like that you can hook things up to control,lights,TV,music & you can communicate with it!"
107,when evar i say ok google she doesn't answers till the fith time and when you ask her to put on something she plays something completely differnt.
108,Very quick delivery and item was exactly what i wanted.
109,"Easy to use, can be customized to my personal tastes."
110,"This is pretty much an unnecessary item for me to purchase, but I have been enjoying it. I've customized it so that when I say ""good morning"" it tells me the weather, my time to work and the latest news.  It also will make you lazy!  I can tell it to play any playlist on Spotify- my own or one designed by them - and it will find it and play it.  Same with any Netflix show or movie.  There's more that I'm still toying around with, but I'm enjoying it so far.  There are alot of apps that haven't agreed to partner with this, and I hope that changes."
111,"I thought that this GOOGLE HOME SPEAKER, had WI-FI built into it , like a ROUTER.
GOOGLE HOME SPEAKER, ended up only being exactly like the Google App. on my Smartphone. You can ask it questions, but before every question, you have to say ,""O.K. GOOGLE"", or it will not work at all.
GOOGLE HOME has a MICROPHONE built into it, and you can also play YOU TUBE MUSIC from this Device.
Too expensive for a device like the Google App.!!!"
112,"I'm writing this in January of 2017.  Don't buy this product yet. It's not ready for prime time.  All the great things Google search does -- as implied by the family name -- does not exist yet in this product.  So there's little value here, except for perhaps the blue-tooth speaker."
113,Bought as a gift and I'd say it was a hit.  The entire family loves it!
114,"THESE ARE LIKE AN ADULT TOE, ONCE YOU FIGURE OUT HOW TO SET IT UP AND USE IT!"
115,The reponse time.
116,"I am, at this point, disappointed in Google Home.  It's good for asking it things but if you have a Smart Phone  you have that.  But my WeMo lights are not supported by it, nor is my WiFi enabled TV on their list so my extra uses for it are non-existent unless they add more native programs."
117,We love it. Great buy. So simple to set up and use.  We are going to buy a small one for the bedroom.
118,"The Google Home is a fun gadget to play around with. I don't think the technology is 100% seamless yet but it can be useful for everyday tasks. I use it to listen to podcasts and turn on Netflix shows through chrome cast instead of having to fumble with my phone. It also has a solid alarm feature. It's also nice to be able to ask it random questions that I normally would have to type in on Google. However, I find that I am often rephrasing the questions multiple times in order to get the answer I want. I think the usefulness will improve over time. Loved the easy set up though!"
119,"Ease of setting up, ease of use.  This thing can answer just about anything."
120,"Its alot of fun using Google home.
My husband has it calling him Master. Lmao  but for real its a Must have for All house  holds. Also very informative."
121,great products
122,"If you want volume, buy the  google home as the main device, and the mini for the adjacent rooms; this has a real clear and loud sound.  I love the fact that, even though my husband and child have not train it yet, the goggle home recognizes their voices(do not know their names without adding their accounts)  Now there is a male voice, but I do not like it;  Cant wait for this device to come out in spanish! I'll buy one for my mom and my sister once is out in spanish. For now, I have lots of fun!  If you want to make full use of all the features get youtube red!  It is awesome!"
123,"Easy to setup & connect to smart devices, and much more helpful with questions/searches than Alexa. (Great sound, too.) Pairs great with our Chromecasts. Now that the whole family has voice control of music, movies, thermostat and more, I'll be adding minis throughout the house."
124,Awesome works for me!!
125,It was so easy to set up and use!
126,This was a gift for my daughter and she is thrilled with it that she convinced me to buy another one. Which I did right away
127,"Its a great product that will amaze you with what it can do. Keep it in the kitchen/living room so it helps with measurements for recipes, quick questions, what time stores close so you can run out. Of course it's not perfect and frequently doesn't understand what you're looking for, but I still found it worthwhile to give a second as a gift to my parents."
128,This is a useful and fun device. Great for hands free productivity in the kitchen. Also a great music device. The kids love asking it questions!
129,We loved this thing so much we bought 2 more as gift to family members for Christmas.  Fun for playing music around the house and videos on our TV.  Love the weather and commute info in the morning.
130,We ask GH very simple questions and cannot get a correct answer.  Sometimes we get an answer and it's so long winded we are telling it to stop.  Returning this product.
131,easy to set up and work with
132,"The google home AI/intelligence is way better than echo.  I have both and the home is a much smarter device.  All I get from my echo is ""I'm sorry, I don't know the answer to that question"".  

If it is primarily for music, the echo has a better speaker, better sound.  
If it is for automation or you have kids asking about dinosaurs or why the sky is blue, random things, google is way better."
133,Easiest way to get the weather and phone numbers and how to spell words. It works great to hear what is on my google calendar
134,"This thing won't bake cookies but it can call your mom! I loved it so much I bought one for my mother. She hasn't learned how to surf the net yet, but after I set it up, can use it with ease. She asks it questions all the time!"
135,It's fine. Works like it says. Just don't have a big need for it.
136,Compact and ease of set up.
137,Bought this for my niece as a Christmas present and she loves it! Highly recommend.
138,I am still learning how to use it.
139,"Gave two as gifts recipients liked them,easy to set up. Shipping was free and super fast!!"
140,"Works great.  My 8 year old loves asking questions.  It's responses are fast.  The speaker is good, we use pandora.  Can distinguish between voices well.  Highly recommended."
141,"really cool item, nothing bad at all about it"
142,Easy setup and super fast learning curve
143,Very smart assistant. Makes tasks like playing videos in YouTube and Netflix a breeze.
144,The quality of the product
145,We love Google home
146,"Awesome product, far better than the Amazon Eco."
147,"I have no idea why folks love it ... the voice recognition is t rrific, ev rything else sucks. The app is one of the worst i have ever used, unintuitive and completely lacking in functionality, none of my music services are supported, and there isnt much besides music i would use it for. I keep thinking i must be missing a hidden feature set!

Im writing this because i just wanted to play a song - google doesnt recognize this well known pop song so i thought id type it in manually in a search box ... good luck with that, there is no music interface and so no search!"
148,Had an Amazon Echo that couldn't answer or do anything that we wanted. Upgraded to this and it does everything we want it to and more.
149,"Picked a couple up to bring back to Canada, got one for my mother in her fifties for her birthday and she loves it!"
150,Sometimes its a little slow and get stuck. otherwise it works well and it is fun to have around the house!
151,This speaker has more definition than my Bose speakers.  For its size it pounds out the super sound.  Bass is excellent with super highs.  For a hundred dollars its a plus...Beats amazon in sound.
152,"If you're Android family like us. It makes the most sense to use Google Home. Why Google is better than Amazon for Android users? * Better integration with your google phone, calendar, google apps etc. * Remembers context of your questions, such as Google what's on calendar this week? (your trip to Portland); Google will I need a jacket ""THERE""? Google knows you're talking about Portland, whereas Alexa gets dumbfounded! * When playing loud music, Google picks up the ""OK google"" command from across the room; whereas Alexa is a lost cause once you turn up the volume and you're far away. CONS: *Google still doesn't have as many partners to integrate light bulbs, locks, thermostats etc. I purchased Ecobee and use it via Smarthings or IFTT. Integration with other devices is just a matter of time. So if you're big into getting Alexa to turn lights ON/OFF today, you should look towards Alexa :)"
153,"I love having this for my home. Its very easy to set up, pretty cool device"
154,WONDERFUL product!!!!
155,Works great and arrived in good condition. Wife and kids love it!
156,I love the design and interaction with Google Home. The responses are much better than Alexia and the music sounds better as well. The one area I wish they would improve is the microphone sensitivity.  It does not respond or hear you as well as the Amazon products.
157,"I have only had Google Home for two days, but it is living up to my expectations so far."
158,just what I wanted
159,Who doesn't love Google Home! Was a great Christmas Gift
160,it can give me answers to weather
161,Excellent product. I recommend. I'm enjoying everyday.
162,I m getting it for Christmas so haven't used it yet but I am excited about the possibilities!!
163,The fact that it responds so quickly!
164,"what it does, and ease of setting it up."
165,My granddaughter wants this for Christmas. I love it. It is educational as well as fun.
166,I love it. But can not get the 25.00  that you had offered. Was going to buy another one with that 25.00 for our son
167,We have linked it to our kitchen light switch and works awesomely. Only downer is we can use certain radio stations that are our go to. Have to subscribe to Google music to have all access to music. You can use with pandora but haven't had too log to see what else it can do.
168,Best product ever
169,The speakers were very good and the call my phone feature is very helpful. Linking it to other music stations is also very good. It received 4 stars because you have to subscribe to Google Play Music to listen to a music album.
170,"I have had an Echo and an Echo Dot and been very happy.
The lack of apps for the Home is disappointing .

But what I find the most irritating is having to say
"" OK GOOGLE "" time after time.
 Having to say "" OK GOOGLE "" over and over becomes a real pain."
171,Everything about it . its very cool .
172,I love it!   Speaker is so much better than the echo.
173,"Excellent choice, bought it to compare to my current Amazon Alexa, the Google is far more  intelligent, responsive, outruns Alexa by far....

with one exception, the sound quality of the Amazon Alexa is superior in quality and louder, which is not a big factor after all."
174,"Every operation is just so easy, the sound quality is amazing, and the microphone picks up my voice through other sounds quite easily. If I speak too soft however (""snooze for 5 more minutes"" in the morning, for example) it doesn't always catch it (it's about 3 yards away from my bed). But when I call it from the other room loud enough (not shouting, just putting up a loud voice) it hears me."
175,"Corners of the items box were damaged like it had been dropped, the delivery box wasn't damaged which leads be to believe it didn't be happen during delivery. I haven't opened it because it's a gift so I've saved my receipt incase it doesn't work. Other than that I love the product itself."
176,it's amazing product home sound good quality   thank you for google !
177,Excellent voice recognition.
178,We love it. We bought another one for our parents. They love it and enjoy listing to music and asking it questions.
179,"what you are not told is that you need to subscribe to get music you want to something like Pandora and definitely to youtube. so if you want to know some things like the weather, time and som recipes this is fine. A lot of questions will direct you to a web site so have paper and pen ready. We returned it after one week."
180,"So this was my Christmas present to myself, hook up was very easy which I appreciate. I haven't used it a lot but the little bit that I have I absolutely love it. I can't wait to get my smart plug in's hooked up to it. I think the sale price was the best part and the real reason I bought it. Can't wait to see all it can do. Very happy with my purchase."
181,"first unir bad out of the box, Google techs were NO help. Had to get supervisor to resolve problem which was to admit unit was BAD. Supervisor agreed to change out the unit but never got the email Google said they would send with information..  FINALLY took unit back to local Walmart and got a new one. Have not hooked up the new one yet."
182,"We've just had Google Home for a week and are having communication problems.  We have to ask a question in a way it understands.  We are learning and so is Google Home!
We were specifically interested in help with difficult crosswords clues  and that has not yet been done.  So, this is a process and we are just starting."
183,You can have the TV on and it hears you. I like that it has two voices to choose from.  Excited to control a lamp by voice too.
184,"Sound and ease of use AFTER installation.  I did have significant problems in getting started,however.  Mostly on getting my Wi-Fi synchronized with my i-6 phone and the new Google Home........needed outside help...... Much of this problem was my own unfamiliarity with the phone.....new to me.

John C"
185,Delivery was good.  Arrived in perfect condition.  Just learning to use Google home but so far I love i
186,"This is a gift, but I have one. It could be better and do things the other (?) product does. It does sync with my nest so that's why I gave it a 4 star"
187,I bought this for a friend that raved about ours.  The price was incredible.  I know they will enjoy it.  It is a great product.
188,"Very intuitive, easy to set up."
189,It doesn't respond With as much information as alexa
190,"Very responsive.  Way too responsive even if I wasnt the one saying ""hey google"" or ""ok google"".  It even responds and reacts to google commercials on tv."
191,"Great voice recognition technology, fun voice-activated games, and ability to link music streaming accounts make this a really great gadget.  The sound quality out of the big speaker is also really great."
192,All about it .  Need to add lighting now!
193,Great helper
194,"Google Home is a fun device and I would readily recommend & give it 5 stars IF the Setup App worked properly.  While the Setup App is easy to use, it simply does not work properly.  It refused to connect to my wireless router -  I finally had to connect it to another one.  I followed the instructions in the Setup App exactly as indicated, but still had to run it 3 times, reboot the Home device, and wait about 30 minutes before it suddenly began working.   Frankly, I expecte MUCH better from Google.  Perhaps an Amazon Echo would have been a better choice."
195,"Everything!  We haven't had it long enough to put all the features to use yet, but this is going to be great!  Love the question answering, playing music of my choice, finding the cell phone when we misplace it, and making hands-free phone calls.  It also selects the Netflix programs we want to watch."
196,"Fun to chat with Goog.  But, the absence of instructions causes concern.  For example, How to add a grocery list, how to know that it is linked to my phone to check appointments.  There are other areas that there are no explanations on how to get there."
197,I love electronics but didn't know what I could use this for. I have a five year old that asks me to spell things ALL THE TIME!  Now he can have google spell anything anytime! LOL it also worked with our WeMo switches and some of our other electronics. It's awesome and don't know what I did without it!
198,I have 4 now and I'm sure more to equip each room with one.
199,Google home really is amazing. Get one and be blown away.
200,So excited to find Google Home at a great price at Sams Club and ordering was so easy.
201,Google home is great. Manages my chromecast and hue lights. And answers questions.
202,Can't really give a review for this product will be a Christmas gift.  It looks nice but didn't really try it.
203,Not nearly as good as my Amazon Echo. Frequently doesn't understand simple requests. Google really needs to up the speech algorithms they use. The only reason I keep it is because it can (with many many requests reworded in different ways) play the my music from Google Play. Otherwise I would have returned it by now.
204,"It's clear that Google released Google Home before it was completely ready but it is also clear that it will eventually do a lot more than it does today.  Useful right out of the box but missing some basic functions (like reminders) and it does not work with as many home automation devices as Alexa. Nevertheless, I bought this because it is powered by Google and. let's face it, they are the 800 lb Gorilla of information.  I ask this things tons of questions on a daily basis and it is generally helpful (though not 100%).

I recommend using IFTTT with is as it extends its functionality quite nicely.  Works well with my Harmony remote using IFTTT.  

Add a few more functions and I give it that missing fifth star."
205,"It's on right now. It's becoming a sidekick, although it shuts itself down without reason and doesn't know why."
206,"This device is absolutely amazing. The interface of voice is getting more popular simply because it is just so easy to use. Having this device around as an adult lot of value to my life, and it helps me to be way more efficient."
207,Convenient and easy to use
208,Stylish degign
209,"Not worth it.  Okay, so I don't understand those complaining about difficulties with voice recognition and set up challenges.  My guess is user error.  My complaint is that once the novelty wears off (the day after the return policy expires) there's not much value.   The search results give either a long winded answer, answer to everything but what you asked, or none at all.  Surprisingly no answer at all is typical.  The games are lame.  Playing music is okay but the sound quality after lowering the volume just sounds muffled like someone placed a towel over it.  

MY BIGGEST COMPLAIINT AFTER ONE YEAR OWNERSHIP:  I set two daily alarms to remind me to take my medicine.  It worked great and I never missed a pill.  The meds are done but THE ALARMS WILL NOT STOP. This is not user error.  I previously had daily alarms that I successfully canceled.  There must have been an ¡®upgrade' and/or software change.  Who knows? What I do know is that these darn alarms go off.  EVERYDAY.  I'll say ¡°okay Google, cancel all daily alarms' and it'll confirm that all alarms are canceled.  I'll immediately ask ¡°okay Google, what alarms do I have?'  It'll confirm that no alarms are pending.  The very next dog gone day the same alarms go off. 

HERE IS MY SECOND BIGGEST COMPLAINT THAT SHOULD BE FIRST:  When I use the Google search for user complaints about Google Home.....all of the top results are from Google and how amazing this product is.  All consumer complaints are suppressed.  The one time Bing is useful is to search for Google complaints...go figure.  From Bing  I have others with similar complaints and said a factory still didn't fix the problem.  The alarms seem to be linked through the user profile not the actual device.

Save yourself time, money, and frustration and just an extra five seconds to take your phone out of your pocket.  Meanwhile I'll be unplugging this listening device from my home because privacy is key."
210,Being able to ask Google questions or for it to turn on music is the best. As soon as I have a question I can ask it without trying to find my phone and take the time focus search for it myself.
211,Works great. Got for my elderly dad who can't use Internet very well
212,"a lot more fun and useful than i thought it would be. bought it for my wife, she loves it."
213,It's plays all the music I love when I ask
214,"Cheaper than Alexa and definitely better at answering your random questions, Google Home is a great assistant if you don't mind that it looks like an air freshener. The lights are actually pretty cool and you can use ""Hey Google"" as opposed to ""OK Google"" as your trigger."
215,So far my family is loving google home. My kids use it more then the adults. It is very kid friendly and im suprised that it is able to understand them.
216,Easy to set up and use.
217,I love this. Now I have my  personal  assistant lol
218,Easy to use. Convenient.
219,It is so easy to set up and use.  It sits on the counter in the kitchen and doesn't take up much room.  I especially love asking google to play music constantly.  This device is fantastic.
220,"Constantly improving tech, works with all my home applications and sounds terrific when I use it to play music.  What's not to like?"
221,"Responses tailored to the voice that it hears!  When my wife asks for her agenda her calendar is accessed.  When I ask, my calendar is accessed."
222,"Decent audio and gets quite loud. However, I don't know that it's worth the premium over the Mini. If you don't listen to music on it a lot the Mini would be the better choice."
223,A decent sounding speaker but ultimately redundant with the Android phone in my pocket.
224,I enjoyed the way Google home works.  It was very nice to know I could change it from a women voice to a man voice
225,Really loved. The ability to connect with your chromecast it's awesome!. First time i feel i own an SmartTV
226,Very easy to use.  Google Home answers questions accurately even with a lot of background noise and multiple people talking.  Responses are fast too.
227,I love this one. Makes my life so much easier
228,I love my Google Home.  I have had a lot of fun with it.
229,It's a good product that works as advertised
230,easy to use!  Not a very tech savvy guy but this was easy to set up and fun to use.  Love the random and fun facts it tells you.
231,Very handy. Gives  info without having to look it up.  Wide variety of music . Schedule reminders.
232,Good purchase does what I need. Useful information.
233,It's use full in many ways
234,She likes it
235,"Is a great product, works as it should. Easy to set up and synch with my Google profile."
236,"there is a learning curve,  what all can you ask?
where do you find any help"
237,"Very cool.  Sound is beautiful, and it is a lot of fun to play with."
238,Ease if use and helpfulness!
239,So easy and fun
240,"Yes,we play Trivia,Music,keep a shopping list."
241,it is a functional speaker and has good quality sound. fun and interactive.
242,Not sure how it works yet. Bought this for a Christmas gift. Price was awesome though. Thanks for the deal
243,Lots of I'm still learning answers
244,Works great learning all the tine
245,I love everything about it!
246,This is a nice and emerging technology. There are thijgs that Google should have done before release. They mentioned that you can add things to uiur calen but it is not available yet. Theu should have waited to release it and made sure all features were avao at launch. Overall it is a fun device that adds a Bluetooth speaker to your home or office. The commands are simple and it is responsive. The microphone works at a good distance. There are games and one of the best features is working with other devices in the home such as lighting and your tv with Chromecast.
247,Easy to set up and use.
248,Great product easy to set-up
249,"Everything! It's such a fun toy! Great sound system to play music during parties, great toy to play with my other Google toy."
250,Fun device operates many home features
251,"A little hard to setup because my IPhone was out of date to log into Google to get the App needed.
It would have been helpful to know the equipment requirements before purchase."
252,Great product at a great price.
253,My kids love it...very helpful with homework
254,very useful great music  great info
255,It's was easy to set up and use.
256,Works great
257,"Google Home is not as capable as ""Amazon Echo"" in controlling household appliances. It's very limited at this time but the knowledge base of Google Home is way far crom ""Amazon Echo"". Before buying, consider first on what you gonna do with the device...controlling household appliance or use it for ""information only"". 
 And also, if you have Android Phone near Google Home...both of them will listen to your command."
258,"I bought one for my wife and she loves it. The 6 months commercial free youtube was worth it. My daughter loved it to, so we bought her one as well,"
259,Wayyyyyy better than the amazon echo
260,Access to youtube compared to Alexa
261,I like the availability of instant news and music of my own choosing
262,Music services are on point.
263,It is amazing how it works.
264,This is a Christmas gift and can't really comment on quality of product just yet.  I'm expecting it to be fantastic.
265,I love how we can use Google Home to help plan our day by reading my calendar. The multi-user support is amazing as well. We plan to connect our Samsung smart devices to vacuum on command.
266,Sound quality for a unit that size
267,This device is great. You might not know what to do with it at first but you quickly get used to having it around. It's like living in the future.
268,"It works quite well. Especially once you get to using IFTTT commands (via iPhone app for me). Using LIFX bulbs and Wemo wall switch by this method. Works a treat. 

Recognizes commands/questions very well

Only issue so far is it picking up random phrases occasionally on TV as an activation phrase

Speaker quality is top notch"
269,"I liked how easy it was to setup. Hardware-wise, same as most other thermometers. Overall, I liked it though a bit on the pricey side."
270,"If you have children, this device is awesome. Play games, sing songs, noise machine, ask questions, the list goes on."
271,This thing keeps the house in order and music as well.
