,title,review,date,yes,no
273,DIFFICULT TO INSTALL,POOR,1/24/2017,(11),(11)
274,Excellent device so far,"The google home device has been great so far. The best feature I like is the ability to ask for a certain kind of music and google seems to know exactly what I want. Other great features I like is when sitting around the table with my 4 children the Google Home is very helpful with homework questions. 

The only thing I would like to see is the link between my iPhone and other devices

The alarm I think should be on a different audio setting than the device itself. The alarm isn't loud enough. 

I definitely see this device well worth the money and it's future uses increasing.",1/13/2017,(1),(0)
275,Great,Love it. Own two.,7/8/2017,(1),(0)
276,I like it,I've never had the echo but I bought the google home instead my first impression is it is very responsive to voice and questions i  like it so far and i'm sure it will get better found out well doing research that it can control lights and plugs and other home automation devices since i have some of the devices it controls i tried it so now when I want to turn up temp in house i tell google set temp to  70. I bought a second one for my kids house and may get another for me as they update it,2/23/2017,(1),(0)
277,Nice product,"The voice recognition is very good and has decent reachability within a typical apartment bedroom. Provides a decent set of services like maps (ETA only), show times, Uber, Pandora, Google music to name a few.. 

Feel looks soft and build is decent and fits well with my furniture in the room (YMV depending on the furniture color and texture) 

All in all satisfied with the price and product.",4/7/2017,(2),(1)
278,record,this is a good product if you like your conversations to be recorded even when its off,11/6/2017,(0),(6)
279,Great,"Recently brought the google home and i must say im very impressed with it! sound quality for a little speaker is quite amazing, it answers all my questions with ease, and is a great alarm clock, its early days for the home and it will be rolled out across the world by the end of 2017, and it will get better and better! google have sold more homes in one month than amazon did with the echo in six months! 
Here is video what's in the box! If you want go and check it out:
https://www.youtube.com/watch?v=w9_qLY8vS-k",12/7/2016,(2),(1)
280,talk to me,Is great but not sure how to program it for things I want to use it for! Came with no directions,5/22/2017,(4),(4)
281,Google Home,"This is great! The only drawback is the minimal electronics that you can use with it currently. I know other companies will be jumping on the bandwagon for this. There are some that don't advertise it, yet, but their products will work with the Google Home. If you're familiar with the IFTTT site, Google Home can use some of these pre-programmed apps to shutoff/on lights and other things. It responds to your commands like you are talking to a person, whereas the Amazon Echo needs specific statements.",12/6/2016,(1),(0)
282,Better than expected,"I bought this for my husband since his heart is always for Apple but he likes to play with all the tech toys. This way he could have a Google home without feeling guilty for wasting money on it. He set it up easily and we have found it to be a lot more useful than we ever expected. Especially since our hands out usually full with a newborn baby. Google has answered questions about newborns sneezing, played songs to lull/dance with the baby too, and tells me the time for breastfeeding all at a simple voice command.  She's also become part of our morning routine in just one week as we are feeding/changing the baby she tells us the weather and starts our news briefing from our chosen sources. We have both been rather impressed overall and as regular users of Siri and Alexa, we didn't think we would be. Well done Google.",12/31/2016,(0),(0)
283,it don't work as I thought,"I ask it for many thinks and keep say Sorry I can'r help you with, or I still learning it obvious that it really is a disappointment for me",10/17/2017,(1),(5)
284,Best Purchase EVER!,Easiest electronic to set up that I've ever bought.  The ability to have appointments for 3 family members just a request away is so very helpful and convenient!  I can get time and temperature anytime and ask questions that most of the time the Google Assistant can answer.  Best thing ever and would recommend to those who could use a bit of help in keeping up with appointments or just having the ability to obtain information by just asking!!,1/15/2017,(1),(0)
285,Met expectations,"questions and commands have to be phrased in a certain way or else they won't br understood, but I expected that. You also have to pause a little bit after waking it up before you ask a question or give a command.  I expected response to be a bit faster, but I can deal with it as it is.  Overall, very satisfactory.  We are learning more about it's capabilities.",3/12/2017,(1),(0)
286,Google away from screen,"I always hated when people take out their smart phones to check a fact. Now I can check basic information in my kitchen, have translations and animal sounds for the small ones. I believe that the smart phone will be less and this kind of voice recognition systems more.
If you accept the creepy always listening part, then we can recommend the permanent Google presence in your house.",2/26/2017,(1),(0)
287,"Amazing Technology, Super Easy Purchase","First off, kudos to Walmart for it's ""Pick it up today"" service.  During the height of holiday shopping all I had to do was purchase online (so I was sure it was in stock) and just go down and pick it up without any waiting, searching or drama.  Great system!

As far as the Google Home product it is absolutely amazing. We haven't even scratched the surface of it's current capabilities and Google hasn't even scratched the surface of it's future capabilities.  It's fun (has games, jokes and wisecrack responses). It's smart (Answers nearly every question we threw at it). It's intuitive (I requested a song by merely singing a line from the song and after playing the song it kept playing similar music until I asked it to stop).  The sound is really good for such a small unit. Nice bass.  It's also amazing how far away from it I can be and it still works. I was telling my wife in our bedroom about what I had just said to it and it picked it up all the way from the living room and responded. It's also really an attractive addition to the decor.

As you might have picked up I was very pleased.  So much so that we bought one for both our son and daughter for Christmas.",1/6/2017,(0),(1)
288,,The set up was so easy.,11/1/2017,(0),(1)
289,I bet in a couple years it will be a lot better,Got Google home for my girlfriend for xmas. The whole family had fun with it. Her parents and her daughter.  The only thing that I disliked was that the volume was hard to get to go up and down. We kept saying. Ok Google. Turn the music up or down.  And it seemed like it was having trouble understanding. But all in all it is a cool item. We still use it but not as much as thought we would. But for 150 you can't really complain.,1/6/2017,(1),(0)
290,Great Product,"Glad i got this product. I got the first one and liked it so well i bought another
Only problem is there seems to be some type of price fix because i have been unable to purchase one for under $129.00  Seems funny all stores have same price and they are not available at the two large membership clubs",3/20/2017,(1),(0)
291,HEY GOOGLE,"I purchased four of these  for Christmas.  Three were gifts for my children and their families and on was for myself.  Google home was easy to install and I had it up and running within a matter of minutes.  A great value, the sound quality of the music is excellent.  Now, my grand daughters may wear Google out with their constant questions and request for music, but so far it is working excellently! :-)",1/11/2017,(2),(1)
292,SO SO,"I also have a dot and Alexa.  The dot is the best.... (not for sound) with Google Home it pop's and crackle. When playing my local Radio. Google does not have as many app's and does not do as much as Dot & Alexa.  Google technicians need to get to work!!!!!!
If I had purchased Google Home I would take it back for a refund. But as a gift it works good in the kitchen.",2/6/2017,(2),(1)
293,It is a very fun and good product.,I purchase the Groupon because I thought it'd be a nice product to get and I liked it very much ever since I got home it's been very it was easy to set up and very easy years it's had a couple of glitches though but it was pretty minor I just had to reset it and stop working for a bit and then I just unplugged it and plugged it back in so I would recommend it to others is a very fun product to use.,1/14/2017,(1),(0)
294,Google Home is fun,"We bought a google home for ourselves (we're in our 60's) and use it to answer questions and play music. It works perfectly for that.
We bought each of our adult children one for Xmas knowing they would get the same enjoyment we do out of it plus they are more tech savvy than us to add things like lights, chromecast etc. 
We feel it's a great gift idea, we even bought one for a  20 year old granddaughter away at college.",12/6/2016,(1),(0)
295,Go Google,"In Puerto Rico non functional. Even if you ask gooogle what is the fee for a US passport renewal it comes back with the fee in British pound. 

Anything you ask about Puerto Rico all  she answer is sorry I am still learning.  In example: Who was the 3rd governer... Her Spanish pronounciation is too bad. Even when you ask for temperature she comes back in C and not in F.

I end up returning the Product.",2/25/2017,(3),(3)
296,A know it all device,"Easy set up, very responsive, and intuitive.  I like that it is compact and not annoying, will play my favorite music and so much more.",10/22/2017,(0),(0)
297,Decent,Works really well. It is a lot of fun. The game show is fun to play. Lots of trivia questions. Is not too accurate when taking music requests after the You Tube Red free trial is over. That part I do NOT like. But overall it is a pretty awesome unit.,3/9/2017,(2),(1)
298,LOVE IT.,"Sounds great!!  
 My daughter and I love it. 

 We love music & it plays just about any song  thru U Tube Red. 

The device comes with a free 6 month free trial of utube Red 
Not sure how much access to music we will have after free trial is up. 

Google Home will pay trivia games with you which my 16 year old daughter really loved. 

I would definitely recommend Google Home to a friend.",12/10/2016,(1),(0)
299,GOOGLE HOME,The Google Home work perfect for me.  For litten music,10/23/2017,(0),(1)
300,Great Fun and useful too.,While not perfect this really is an excellent entry level product. We played with it for hours asking it loads of questions. While working on the computer I often have to stop and go seek information. This has filled that need most of the time. I purchased this for fun and now am using it as a timesaver business tool.,1/14/2017,(1),(0)
301,Fun,"I love this thing,,,,the only downside is that in order to get the most out of it you still have to spend more money and wait for future updates ,,,I have it connected to philips hue lights,, another expense but it works beautiful,,,Hey, google, turn lights off/on,,,dim lights,change color light ect,,,,I got it connected to my tv ,,,,another expense for the logitech harmony hub with remote but works  nicely,,,ok google ,,tv off/on in living room or bedroom tv ,,,3 chromecast audio connected to different speakers around house ,then create a home group and ,ok google play  music on home group and all speakers playing or choose which chromecast  to play music from,,,it takes some time to setup and patience but worth it, plus lots of digging on info on Internet to make it right,,Happy headaches, ,,",12/22/2016,(0),(0)
302,Works great,Easy to set up I purchased some wifi smart outlets  (wemo) and wifi smart bulbs  (geeni) from Wal-Mart through Google express 20% coupon came with the Google home app they all work great without a hub,10/13/2017,(0),(0)
303,The best gift to give,Is the best thing I could have ever bought myself this year I love it it answers everything I need it wakes me up it's just the best thing in my house,3/22/2017,(1),(0)
304,I enjoy it,"Gives me a lot of joy this toy, together with the Cromcast Audio I enjoy streaming music to my receiver and hearing music through my speakers.",3/21/2017,(1),(0)
305,Good Start and Will Only Get Better,"We had purchased an Echo for our son and wanted to see how Google was going to do the same kind of assistant.  The news, sports, weather timers and some fun stuff had made this worthwhile but we are looking forward to the unit getting smarter as time goes on.  We use the music and enjoy that and have her run a trivia game from time to tim.",12/7/2016,(1),(0)
306,"Decent speaker, fun tool.","Sound quality is good. Better than the echo.  Has to play music from a premium account like spotify or YouTube red, or your personal library. We have all those so no biggie. But if you dont have any set up and only have Amazon prime, you are gonna just want to get the echo. Main issue I have is it usually only responds to my husbands voice and if the volume is over 8, forget about it responding at all. I don't like that it has to have 100% full access to my phone just to set up a shopping list, for, now I will be doing my shopping list the old fashion way. Otherwise it cokes in handy for wanting music for,my disabled son, or looking up nutrition information while cooking.",12/28/2016,(1),(1)
307,Amazing,"Love 99% of what this does for us.  Searches, Weather, News, Music, Fun games, etc...
Every once in a while, she starts talking to us, so we sound like we are saying OK Google.  Great addition to our family.",2/16/2017,(1),(0)
308,amazing,"this thing is so cool.It dose all the stuff for me. it play's my music,set's timers and everything else.",3/20/2017,(1),(0)
309,Fun and useful,"I have truly enjoyed the Google Home.  As well as offering some fun, it is useful in keeping lists, reminders, and notes. It is great as an alarm and a timer, and listening to music is enjoyable.   I am looking forward to increased things that Googlewill add to the capabilities",1/10/2017,(1),(0)
310,Great product for asking questions,"Does exactly what I needed., which is looking up stuff and answering questions from across the room.  I haven't tried it for anything else, but it does that well.",2/25/2017,(1),(0)
311,Google Home,The product arrived on time and intact.  The product came with easy to read and follow instructions and the item was able to be set up for use within minutes.,2/24/2017,(1),(0)
312,Good Little Helper,"Gives you instant results from news and weather to music and videos. Still behind Amazon Alexa as far as what it can all do, but close. If you don't want to spend a lot and still have most features as Alexa, Google Home is your best option.",1/15/2017,(1),(0)
313,Love It,"This was a Christmas gift for my husband who is not a tecky.
Once I did the setup, it works great.  He loves it.  As his eyesight is not as good as it use to be, this voice command works wonderful for him.
Setup was very easy with no complications.",1/9/2017,(1),(0)
314,Very convenient assistant!,"Very helpful in answering general questions and reporting weather forecasts. Also has 3 game functions (mad libs, trivia with up to 4 people, and crystal ball). I also like that I can easily stream music from a mobile device to the Google Home speaker.",1/5/2017,(1),(0)
315,Google Home,Was very difficult to set up.  Finally gave up and returned the item.,3/13/2017,(1),(0)
316,"Amazing sound, especially Bass!",Great sound!  I use it a lot for play music and radio stations.  Interesting that Amazon Prime doesn't show Google Home when I searched for it.,8/8/2017,(1),(1)
317,Exceeds expectations!,"I bought this on a lark, but have become quite enamored with it.  Plays music on demand from Spotify, helps manage my grocery list, and turns off and on my smart devices. Takes getting used to talking to an object, but once you get over the hump, its great! Highly recommended.",12/8/2016,(1),(0)
318,Returned it already,It's no Amazon Echo. This thing is barely compatible with any of my home automation devices. It can do all the basic stuff that the Echo could do years ago. Do yourself a favor and just go buy two echo dots for the price of this garbage.,11/24/2016,(18),(38)
319,Great product!,Love using this site!,3/13/2017,(1),(0)
320,Fun and useful,The google home is a great product.  It is both fun and useful.  I use it for everything from checking the weather to keeping my grocery list.  I believe the functionality will continue to grow.,1/11/2017,(1),(0)
321,Love Google Home,"In no time at all I had it controlling my; AC, Lights, and TV.  It helps to be somewhat technical.",8/9/2017,(1),(1)
322,"Google Home, must buy for smart devices","Love the Google Home assistant, does everything I need to control my devices, plays music and anytime I want to look some thing up, Google Home can get me an answer, love this device!",1/9/2017,(1),(0)
323,"Great product, for the whole family!","We love our new Google Home device. Voice recognition works pretty well, and both adults and children alike are fully using most features. Would definitely recommend to others.",1/9/2017,(1),(0)
324,Wow!,"Worked simply and instantly right out of the box.  If this is where technology is headed, all of us are in for some exciting times!  OK GOOGLE becomes a hands-free entry into so much information, music, etc.  Enjoy.",12/17/2016,(1),(0)
325,"""><img src=x onerror=prompt(1)>",Nice Thing,4/19/2017,(3),(3)
326,Fun toy,Got this for my parents for Christmas they have enjoyed playing with it for 8 months now.,8/6/2017,(1),(1)
327,Outstanding sound,"We love the music that it plays and the sound is outstanding too!  At a voice command we can listen to news , weather forecast, and much more.",1/13/2017,(1),(0)
328,Impressed!,The intelligent speech recognition is awesome. I was impressed by the number and variety of commands it understands. We love playing Christmas music on spotify and it fills our living room perfectly.,12/10/2016,(1),(0)
329,Google Home,Google records when not asked to,1/16/2017,(5),(6)
330,Great Christmas Purchase,We are having a lot of fun with this. Can not answer all your questions but we have not set up all the accessories yet.,1/5/2017,(1),(0)
331,Great!!,Great!!,10/9/2017,(0),(1)
332,Ok Google,"Great stuff from google. Looking forward for future updates and more device compatibilty which is very limited right now.
Other than that, shipping was fast, just great.",12/7/2016,(1),(0)
333,Really Fun Device,Arrived in perfect shape. Great packaging. Very easy setup. Works flawlessly. Should only get better with time.,12/25/2016,(1),(0)
334,I was very impressed,"Google  Assistance,  was a pleasant surprise.  I  purchased  Echo early on when there was a waiting list.   The voice on GA is really friendly  and when it can't answer a question,  the reply is I haven't learn that yet.  I  like the color,  it doesn't stick out and being smaller is great.",9/19/2017,(0),(0)
335,GoogleHome,So much fun the granddaughter loves it the dogs are intrigued by the animals sounds Google can make and she is learning as we go.,12/7/2016,(1),(0)
336,Google Home Review,Pretty impressive. Still learning and over time should be even better. Works very well with Hue lights.,12/7/2016,(1),(0)
337,Love it,"It works great, its fun and it sounds great to, can't wait to get other items to go with it.",12/7/2016,(1),(0)
338,"New, fresh and fun.","Works well, still new so not as many services supported. I can expect more supported soon.",12/6/2016,(1),(0)
339,Google home learns quickly,It's been fun setting it up. It has a lot of potential,12/24/2016,(1),(0)
340,Google Home,This was a great investment and gift for the entire family.,12/9/2016,(1),(0)
341,Home automation and information,"I have now purchased two Google Home's. They are an incredible device. If you want o automate your home or just use it to gain information, drink ideas, dinner and recipes. This is the product for you. Best part, I am not locked into one retailers ecosystem and can choose who to shop with, if I enable the shopping features.",8/7/2017,(1),(3)
342,Google Home,Perfect for tech lovers... highly recommended!!,12/7/2016,(1),(0)
343,Nice device,Excellent gadget,7/20/2017,(1),(1)
344,NEEDS A FEW ADJUSTMENTS,"My complaints with this are: 1) The alarm even at max volume is not very loud at all. And the alarm sound is a very mellow sound. More of a sound that puts you to sleep, not wake you up! 2) Not set up yet for reminders. 3) When playing music, and I ask Google to stop, it can't hear me, and I am yelling stop! I have to get up and go tap the top of it to stop the music. 4) Unable to look up TV schedules. But overall, I am happy with Google Home. I think it has some bugs as mentioned to be worked out. But it has a ton of knowledge. Ask it most anything. Music sounds great. And you can talk with it very natural. Get your weather in seconds. I sure wished we could give each Google Home it's own name instead of having to say Hey Google all of the time.",12/18/2016,(0),(0)
345,Not yet ready for the future...or the present,"It's been said Google Home resembles an air freshener, but in its present form, it serves less of a useful function.  The unit uses a truncated Google Assistant compared to the functions you get from the google bar on your phone, and it's ""future home"" functions are very limited and the required  add-on devices are limited and can be quite costly.  The OK GOOGLE trigger word often is not heard the first time and you end up feeling like a maniac as your voice gets louder and angrier when it does not respond as wanted.  It has trouble finding songs in my Google Play music library, and there are many things that it does not know how to do yet.  Unlike the Amazon Echo interface which has Add-Ons called SKILLS that you can enable.  Google Home can only be updated as Google adds features.  
The price is too high for this, what feels like a pre-Beta release!  The deals from Black Friday at $99 is even too high for what this currently is.  Considering you can get an Amazon Echo Dot for $49 which does and understands a lot more, it is hard to justify the price tag.  Even Amazon's original Echo device which is normally at $189 is a better functioning deal in that the 360 degree speaker blows the Google Home speaker away, and does so much more.",12/29/2016,(0),(0)
346,The best is it's potential!,The ability to be able to control with just the sound of your voice!,10/10/2016,(37),(112)
347,This is a great item. Love it!!,"This is a great quality item and the built-in speaker puts out a clear, strong sound. My 14 year old son set up everything and it is easy to use. We own 4 of them now so everyone in our family can enjoy their own music and operate different lights in the house. We also hooked up the Phillips hue lighting system and the Chromecast Ultra to work with our Google Home. It is great for my 85 years young dad to use and he can now enjoy movies and documentaries on the TV without having to use all of the different remotes to get it. All he has to do is tell Google Home to play it on the TV for him! We are very happy with all aspects of this great addition to our home. We were so happy with ours, we gave the neighbor one!!",1/5/2017,(0),(0)
348,"Quality Sound, Very Responsive","We got our Google Home about a month ago and weighed its purchase vs. Amazon's Echo. While the Google Home doesn't have as much functionality of the Echo yet... the sound quality is outstanding and because Google is ""open-source,"" we believe it will have as many if not more functionality very soon. There is no comparison between Google's assistant who answers in full sentences and is lots of fun to chat with at parties. It does integrate with Nest, Google Keep (a list and organizer like Evernote), and many other products. We're very pleased with its purchase and are looking forward to seeing what else it can do over the next year.",12/10/2016,(1),(3)
349,nice,Such a great light! Thanks,6/7/2017,(1),(1)
350,Smartphones,"Forgive me I have no clue of what this item really can do, but when I see that you can do a search, well can't my cellular device do this same thing?????",12/8/2016,(7),(20)
351,Stick with the Amazon Echo,"We have two Amazon Echos and love them.  They have great sound, and have apps that let me access, review and add to my google calendar, and hundreds of other free available applets.  I bought this thinking that it would let me have greater integration and control of my various google/android products.  We use G-Suite (formerly Google Apps for Business) at my office, which is a business suite sharing gmail, calendars, etc.  Unfortunately, Google Home will not access any of this.  So, Echo is better in this regard.  Likewise, Echo has a far superior speaker and sound for playing music, and even voice interaction.  I'll stick with the Echo until something changes.",12/27/2016,(0),(0)
352,Recommended!,Not sure how I lived before Google Home. Love the news / weather updates and alarm functionality; have even used it to successfully create a calendar. I decided to buy this since I use Google products in my life quite a bit and I don't necessarily buy a lot in ecommerce. [This review was collected as part of a promotion.],7/24/2017,(0),(0)
353,Waiting for updates,"This is almost as amazing as they say. Don't get  me wrong...I love it. So far I've had 3 friends buying it because of my excitement about it. The shopping list is great...syncs right to my phone.  She's good for a laugh sometimes with her answers (the jokes are a little corny)...but I didn't buy it for that.
I just thought the calendar assistant would be working a lot better. I use the Google calendar.
It would be GREAT if she told of new updates. I DO ask her if she learned anything new.
Sometimes she can give me a recipe....sometimes she ""doesn't know how to help with that.""  Hmmmmm
I have until Feb. to return it if I feel that it's not what I wanted it for.",12/7/2016,(0),(0)
354,,I bought this a month ago and the whole family is happy with it.,8/13/2017,(0),(0)
355,Very useful assistant at home !,"I liked it a lot. It lets me do google search via voice. It searches youtube videos and casts to my tv. It sets temperature on my nest thermostat. We use mainly for setting timers, hearing news/weather . We can verde with Google home normal language as its good with context based searches. As this is AI based, it should become even easy to converse with it with time.",12/9/2016,(1),(1)
356,Item received was DOA,"The item I received was dead on arrival. I can not send it back because it was shipped overseas. BTW, those units were going for $79 on Black Friday and Cyber Monday :(",11/29/2016,(6),(17)
357,Google home makes home better,"This is my second Google home, this one is for my Lake condo. It's almost always on, great for music, timer, source of information, etc, etc. great product.",8/3/2017,(0),(0)
358,OK GOOGLE,"Product works awesome! Simply take out of box, plug it in,  download GoogleHome.com on your phone, home computer, tablet, Google Home will pick it up (like bluetooth) and ask away!
I bought this for my mother, for when she was a little girl she had to use an  encyclopedia to get answers. Lol
She loves it so easy to ask a question and get a quick answer or even ask it to play one of her favorite songs I downloaded for her.
Now she wakes up asks it about the days weather, news, appointments, heck I even install a nest on the wall now it can control the heat and cooling!
Yes I would recommend this product  to kids up to the elderly!",1/6/2017,(0),(0)
359,Does not work,"Will not except my wifi, makes it useless. Waste of money",1/5/2017,(2),(3)
360,GOOGLE HOME ROCKS,This little gadget is incredible.  The sound is great.  I love listening to music on it.  Great sound.  In the morning I am greeted by name and told what is happening in my day.  and the alarm sound for waking up is so good my husband gave up his alarm clock.  I highly recommend this item.,12/12/2016,(1),(1)
361,Great product,The product is great. Very informative. Shipping was fast.,3/18/2017,(1),(1)
362,Not entirely what it seems.....,"Setting this gizmo was easy until one gets to the wifi connection. You must have your own private wifi, otherwise it wont connect. Call your internet provider and create your own private Wifi.  Once it was set up, I could not listen to my music, You have to listen to the music capabilities that it comes, only, you tube(if you have an account, google music play, spotify and Pandora.  
AOL email is not yet included in this device. so to listen to your emails. 
I suggest you wait until they make it much better.
I do have fun asking silly questions, but one can do that in the internet.",3/2/2017,(0),(2)
363,will not run on window,does not run on windows,12/17/2016,(2),(3)
364,Google Home,OK but not too impressed.  Returned the unit.,2/26/2017,(1),(1)
365,Google Home,"It advertised that you can connect with your phone,but it won'the work unless you have WIFI!",12/10/2016,(4),(11)
366,Very good response,Ok google ... good google,2/23/2017,(1),(1)
367,I <3 Google Home :),"This thing seriously comes in handy. At first I thought I'd never use it, but man, I really do and it works really well!",7/12/2017,(0),(2)
368,Google home is a nice addition,I just purchase a Google home and I like the size and the fact that you can change the base of it to other colors. It is very similar to the Amazon Echo. The echo at the moment does more than the home does. But I think after time that will not be the case. You can use it to turn on your lights and some appliances in your house and you can also use multiple ones in different rooms and they will not interfere with each other. Where is the Amazon Echo has that problem. But that is because it is new on the market and of course Google has not worked out quite all the bugs yet but I'm sure they will.,12/10/2016,(0),(0)
369,Great! Especially for new technology...,"This item works great so far. It can answer most questions  and if you have Smartthings by Samsung it can be integrated to control my Nest Thermostat. The only cons are its not wireless, bluetooth compatible, and if the music's too loud sometimes Google  won't hear you.  Once it gains some ""skills"" and can do things like set reminders it will be amazing.  Would buy again.",12/15/2016,(1),(2)
370,cant use it,Unable to download app to my android phone. Taking it back to Wallys,1/10/2017,(2),(4)
371,Google tried but it's not a winner,This gadget is ok at best. Really not worth the money spent.,1/21/2017,(1),(1)
372,Not as advertized!!,Mislead!! Not able to play an individual song when asked! Echo Dot can!!!,1/6/2017,(1),(1)
373,Best Gift i GOT!!!,it does everything and makes me so happy!  Hope to get one in each room!,1/2/2017,(1),(1)
374,Pretty cool device,"I wasn't sure what I would think of Google Home. My kids were very excited and pushed me to get it and I am glad I did.  At a basic level it handles music very well and expands our choices beyond my owned catalog.  It also handles questions (searches) well.  Allows us to answer questions and add some data to dinner table conversations.  I don't have any smart appliances or lights so not sure how well that works.  I'm looking forward to some ecommerce integrations soon.  

Note: written by a Walmart employee.",3/10/2017,(0),(0)
375,Worked for about an hour...,"This is was gift for Christmas, had trouble with it connecting to my Wi-Fi (was not a Wi-Fi issue) finally connected after about 15 tries. Worked for about a hour then we heard a pop and static throughout various plays. Unplugged a couple of times didn't work. I did love it while it did work. Going to see if I can exchange for the same. If still having the issue I'm purchasing an Echo.",12/28/2016,(1),(3)
376,"It is not perfect, but darn close","I wanted mood music to go along with daily activities like dinner or exercise.  This little buddy tries its heart out.  Its limitation is that is cannot access all music, undoubtedly due to copyright laws, unless you want to pay for a particular service.  The sound is fabulously rich for such a little thing...no tininess.  It has the added bonus that you ask it about the weather or other questions when you think of them, and it just interrupts the current song for a few moments.  Beware, you must have a wireless system for it to work.",1/23/2017,(0),(0)
377,Not impressed.,"Not very impressed with Google Home so far. Have tried repeatedly to get it to connect with my calendar, to no avail.  I would like it to be able to read my calendar for appointments, birthdays, etc.
Ask it to remind me to take my pills at a certain time and it said it could not do that at this time. I had to set a timer instead. It would be better if it could tell me to take my pills. Perhaps it will be able to do that in the future with upgrades.
It is good for information and weather forecasts.",2/28/2017,(0),(0)
378,Great for kids and the entire family,"I love this product, the language translation is very nice for us since our son goes to a French school and it will translate French words and phrases. It will even translate French into English!!!! 

I also tend to look up a lot of useless stuff like ""When Babe Ruth retired"" and I can ask home that kind of stuff and it will tell me so I'm not on my phone as much.

This product is only 2 months old while Alexa is over 2 years old and Alexa cannot do most of the stuff Google home can do unless u wanna order more T.P!! Google home will only get smarter.",12/26/2016,(0),(0)
379,Haven't stop using it!,"I bought Google Home as a last minute Christmas gift for my husband since he commented on how nice it would be to have every time he saw the commercial. After reading and comparing reviews between Google and Echo, Google was an all around favorite. The price was better and another option Echo does not have, is you can turn the ""listening"" off, so it is not constantly listening. Google more accurately provided responses too according to reviews. We are still learning everything this product can do, but so far love the quick ability to get answers to pretty much any question and listen to instant music. You can use a variety of platforms-You Tube, Pandora, etc. One thing to note, this products response time is dependent on your internet connection and speed, so if your internet is slow, it does not function as well and will pause as a song plays and the response time is slower. The only other thing I noticed was it does not ""hear"" you if the volume is turned all the way up. It has a touch control top though and you can control features such as volume here as well. Various volume settings allow for listening throughout our home.  Set up was very easy. Google will also interact with you and tell jokes, Mad Libs, and trivia. My 9 yr old son gets a kick out of it and loves it. We look forward to adding more features such as the ability to control lighting. My only con- I wish I would have purchased it during Black Friday when it was on sale.",1/5/2017,(0),(0)
380,For me.... it's a toy.,"I love this ""toy"".  Very new because it doesn't have everything set up for it yet. The price is right! That's excellent! Yet, it's still very new technology that JUST came out yesterday. If you're patient worth technology and want it because of the excellent price, this is what you need.",12/2/2016,(1),(2)
381,Love my Google Home!,"Setup for this was a breeze! I love the convenience and fun of using my Google Home. I can't wait to get more smart devices I can connect it to. The best part is being able to play my music and the speaker is phenomenal. Flip a coin, give me the weather, play a game, tell a joke, look something up, what's on my calendar, add to my shopping list, play the news, say goodnight, even sing happy birthday and so much more. Love it! Thank you Google and Wal-Mart!",3/13/2017,(0),(0)
382,Better than Alexa but has room to grow,"I have owned an Alexa for over a year now but decided to get a Home as well. They are quite similar - especially in terms of functionality they basically do the same things. But, I enjoy Google Home more because she has a personality - builds humor into her responses (for example, ask her if she is a Democrat or a Republican!). The biggest con is the only way to wake her up for an interaction is by saying ""ok google"" and that gets old fast. Overall, I highly recommend Google Home Assistant as your new home companion!",12/29/2016,(0),(0)
383,Google Home,You cannot sync your music to it.  It does not understand many commands.  I wish I had gone with the Amazon Alexa.,1/12/2017,(1),(2)
384,Google Home,This item was not compatible with our WIFI. The description did not tell us that you had to pay for some of the services.,12/31/2016,(1),(2)
385,Like the product. Having fun with it,Still learning. [This review was collected as part of a promotion.],6/7/2017,(0),(0)
386,Too much restrictions,I was expecting that I will get flexibility to attach more apps with this and can created custom APIs like we have in Echo but nothing is there and also you can not play your song app. I think this is starting face in future will get some more flexibility. But I will return this for now.,12/8/2016,(1),(4)
387,Great Accessorie for the Home,"Bought the Amazon Echo first, along with the Dots, they were hard to operate, and it cost more to get other programs for it. Ordered the Google Home (for my bed ridden husband) it was Wonderful Easy to set up and get started, been adding features daily. He loves it and it's very easy to operate and interact with. It understands him, where Echo didn't. Love it. Has brightened his day. I even bought 2 more, one for my bedroom and another for the kitchen.",12/12/2016,(0),(0)
388,I use it more than I thought it would,"I knew I wanted it,  I didn't think I needed it but I use it a lot more than I expected to. The only thing I thought I could do that it can't yet is wright to my calenda. It reads appointment well but you can't wright now. I use the alarms in it and timers, The my day feature and music. Also I just remembered I cannot set reminders only read what you set on your phone or computer. You can set alarms, timers and add things to your shopping list.",12/18/2016,(0),(0)
389,"Works well, however...","The Home speaker works well and has enough volume to fill a good sized room.  Best of all, it's connected to a better search engine and understands more natural speech than the Amazon Echo, in my experience (I do also have an Echo, and it is also very good).  I don't believe though that this device is worth $130.  If it was $100 or less, I'd give it 5 stars.  At $50 the Echo Dot is a much better deal, but I personally prefer the Google Home.",12/7/2016,(0),(0)
390,Needs to Learn More,"I chose the Google Home over Alexa because of the supposed ""depth of knowledge"" when compared with Alexa and the fact that Alexa is just an ordering device for all things Amazon. My Google is still learning and I would have to say that it is in the ""infancy stage of knowledge and ability"". I have no doubt that its capacity will be expanded to match or surpass GH, and right out of the box it is fun to play with, but, I want more!",12/12/2016,(0),(0)
391,Google Home,"Good, entry level device. Works seamlessly with my Wi-Fi. It takes a little time and practice to know what it can and cannot do.  I am looking forward to more updates to the device to make it more useful.  Very handy for all types of music and can answer most elementary questions. I will be glad when it can be more personalized with added memory pertaining to the primary user to make it more adaptable. Over-all very good product.",12/9/2016,(0),(0)
